unique_satellite_id,predicted_gateway,actual_gateway_id,assigned_cells,actual_cell_ids
249,21,9,"[1114, 1127, 1160, 1161, 1215, 1237, 1241, 1244, 1250, 1253, 1256, 1277, 1448, 1455, 1469, 1477, 1489, 1563, 1581, 1582, 1608, 1615, 1640, 1727, 1798, 1869, 1871, 1886, 1896, 1901, 1906, 1907, 1934, 1973, 2013, 2081, 2087, 2094]","[204, 207, 279, 293, 534, 546, 858, 1060, 1079, 1265, 1266, 1334, 1400, 1492, 2484, 2488, 2699, 2790, 2910, 3086, 3172, 3329, 3405, 3517, 3971, 4109, 4377]"
250,28,28,[],"[733, 1284, 1520, 1522, 2739, 4119, 4396]"
270,7,7,[],"[56, 84, 227, 367, 478, 652, 689, 1423, 1632, 1843, 1931, 2022, 2177, 2609, 3156, 3254, 3274, 3349, 3500, 4487]"
271,12,39,"[3489, 3541, 3574, 3579, 3592, 3599, 3613, 3621, 3626, 3664, 3665, 3682, 3687, 3698, 3747, 3748, 3764, 3766, 3769, 3770, 3804, 3829, 3835, 3839, 3842, 3849, 3879, 3882, 3894, 3905, 3919, 3936, 3997, 4009, 4023, 4029, 4045, 4046, 4104, 4106, 4108, 4112, 4129, 4132, 4144, 4149, 4161, 4177, 4199, 4217, 4225, 4229, 4235, 4257, 4264, 4276, 4300, 4343, 4360, 4376, 4385, 4445, 4470, 4477, 4478, 4497, 4498, 4504, 4512, 4514, 4534, 4540, 4558]","[16, 34, 81, 190, 234, 257, 403, 491, 582, 738, 898, 1495, 1606, 1879, 2042, 2150, 3074, 3570, 3626, 3784, 3792, 4084, 4093, 4110, 4129, 4309, 4342, 4563]"
272,21,21,"[9, 17, 30, 59, 86, 111, 302, 307, 323, 348, 400, 493, 508, 550, 563, 565, 577, 613, 663, 679, 716, 721, 746, 765, 770, 777, 788, 862, 894, 923, 927, 928, 948, 966, 991, 1041, 1077, 1098]","[14, 86, 111, 231, 273, 302, 323, 348, 446, 550, 562, 613, 645, 663, 706, 894, 948, 1077, 1091, 1114, 1127, 1134, 1161, 1181, 1237, 1239, 1455, 1541, 1581, 1582, 1608, 1619, 1684, 1886, 1902, 1906, 1926, 1934, 1964, 2153, 2192, 2236, 2298, 2435, 2457, 2557, 2569, 2596, 2636, 2642, 2654, 2655, 2731, 2782, 2818, 2895, 3025, 3072, 3091, 3108, 3146, 3196, 3215, 3236, 3239, 3326, 3426, 3445, 3530, 3607, 3667, 3677, 3725, 3739, 3791, 3805, 3853, 3854, 3902, 3903, 4017, 4033, 4254, 4320, 4329, 4501]"
273,28,28,[],"[54, 951, 1595, 1785, 2917, 3987]"
293,41,7,"[1537, 1572, 1577, 1584, 1591, 1636, 1663, 1674, 1697, 1747, 1783, 1838, 1874, 1884, 1917, 1921, 1931, 1942, 1943, 1957, 1991, 1993, 2005, 2008, 2022, 2030, 2032, 2039, 2065, 2067, 2082, 2084, 2085, 2115, 2133, 2138, 2168, 2196, 2206, 2224, 2237, 2286, 2299, 2352, 2357, 2379, 2409, 2445, 2509, 2514, 2522, 2524, 2533, 2582, 2607, 2609, 2671, 2690, 2738, 2744, 2750, 2756, 2777, 2873]","[48, 337, 533, 974, 1015, 1434, 1551, 1876, 1943, 2039, 2084, 2329, 2509, 3041, 3080, 3159, 3900, 4121, 4146, 4260, 4476]"
294,12,46,"[2440, 2442, 2502, 2506, 2508, 2512, 2513, 2527, 2530, 2577, 2616, 2621, 2622, 2630, 2659, 2662, 2682, 2688, 2702, 2704, 2712, 2717, 2726, 2781, 2789, 2799, 2803, 2814, 2817, 2828, 2837, 2848, 2868, 2900, 2906, 2908, 2909, 2919, 2933, 2935, 2956, 2957, 2990, 2994, 3001, 3036, 3064, 3074, 3093, 3103, 3179, 3197, 3203, 3244, 3267, 3272, 3283, 3305, 3314, 3321, 3345, 3350, 3351, 3371, 3378, 3385, 3388, 3394, 3414, 3427, 3438, 3444, 3483]","[88, 161, 218, 301, 350, 383, 464, 537, 564, 589, 631, 701, 800, 815, 816, 836, 902, 934, 950, 1075, 1088, 1152, 1245, 1332, 1366, 1553, 1570, 1600, 1637, 1677, 1719, 1726, 1791, 1823, 2074, 2143, 2255, 2256, 2316, 2361, 2467, 2483, 2485]"
295,31,31,"[2418, 2473, 2537, 2602, 2774, 2796, 2856, 2880, 2889, 2902, 2937, 2966, 3132, 3259, 3261, 3487, 3542, 3551, 3814, 3825, 3864, 3877, 3990, 3994, 4059, 4137, 4155, 4551, 4552, 4568]","[9, 17, 59, 307, 400, 503, 508, 565, 577, 679, 716, 721, 746, 765, 770, 777, 788, 862, 923, 927, 928, 966, 991, 1041, 1215, 1241, 1244, 1250, 1253, 1277, 1469, 1477, 1489, 1563, 1615, 1640, 1869, 1871, 1901, 1907, 1973, 2094, 2104, 2292, 2350, 2371, 2416, 2555, 2590, 2606, 2678, 2927, 2947, 3002, 3130, 3170, 3181, 3231, 3294, 3341, 3399, 3423, 3435, 3450, 3629, 3644, 3689, 3732, 3774, 3781, 3817, 3820, 3890, 3892, 3970, 4001, 4143, 4152, 4272, 4357, 4515, 4535, 4553]"
296,28,28,[],"[229, 908, 1119, 1624, 2060, 2589, 2710, 3660]"
