unique_satellite_id,predicted_gateways,actual_gateway_id,assigned_cells,actual_cell_ids
280,"[0, 1]",33,"[2617, 2411]","[30, 53, 74, 208, 211, 214, 239, 277, 298, 484, 749, 760, 780, 785, 955, 971, 1095, 1098, 1156, 1157, 1160, 1202, 1220, 1256, 1308, 1364, 1379, 1448, 1484, 1519, 1723, 1727, 1798, 1961, 1977, 2006, 2044, 2058, 2081, 2087, 2124, 2175, 2244, 2359, 2410, 2476, 2547, 2649, 2716, 2768, 2795, 2809, 2880, 2889, 2892, 2937, 3132, 3135, 3233, 3259, 3322, 3330, 3364, 3435, 3480, 3487, 3551, 3614, 3635, 3636, 3695, 3751, 3790, 3852, 3970, 3974, 3983, 3990, 4075, 4103, 4191, 4222, 4389, 4412, 4499]"
281,"[0, 1]",28,"[2656, 2538]","[1595, 1808, 1904, 2741, 2793, 3016, 3700, 3763, 3987, 4025]"
301,"[0, 1]",18,"[2657, 2563]","[68, 71, 102, 186, 336, 499, 552, 602, 637, 640, 705, 735, 1065, 1240, 1282, 1543, 1576, 1613, 1616, 1652, 2036, 2194, 2453, 2747, 2763, 2926, 2951, 2952, 3104, 3163, 3176, 3303, 3536, 3573, 3603, 3646, 3683, 3783, 4032, 4117, 4124, 4388, 4543]"
302,"[0, 1]",3,"[2668, 2593]","[42, 540, 618, 682, 779, 848, 861, 1031, 1176, 1187, 1480, 1506, 1598, 1680, 1814, 1848, 2325, 2353, 2675, 2938, 2950, 3015, 3379, 3470, 3473, 3647, 3985, 4066]"
303,"[0, 1]",31,"[2676, 2626]","[9, 17, 59, 307, 400, 503, 508, 565, 577, 679, 716, 721, 746, 765, 770, 777, 788, 862, 923, 927, 928, 966, 991, 1041, 1077, 1215, 1241, 1244, 1250, 1253, 1277, 1455, 1469, 1477, 1489, 1563, 1615, 1640, 1869, 1871, 1901, 1907, 1973, 2094, 2104, 2292, 2350, 2371, 2416, 2555, 2569, 2606, 2927, 2947, 3002, 3130, 3170, 3181, 3196, 3231, 3341, 3399, 3423, 3450, 3629, 3644, 3689, 3725, 3732, 3774, 3781, 3817, 3820, 3890, 3892, 4001, 4143, 4152, 4272, 4357, 4501, 4515, 4535, 4553]"
304,"[0, 1]",28,"[2679, 2739]","[261, 672, 1284, 1398, 2556, 2644, 3952, 4278, 4298, 4390]"
324,"[0, 1]",41,"[2794, 2773]","[8, 206, 853, 1019, 1429, 1991, 2032, 2048, 2116, 2203, 2237, 2274, 2352, 2607, 2628, 2651, 2756, 3044, 3152, 3153, 3383, 3657, 3830, 3891, 3895, 4116, 4294, 4444]"
325,"[0, 1]",12,"[2813, 2776]","[2139, 2201, 2302, 2322, 2327, 2354, 2358, 2383, 2386, 2442, 2530, 2682, 2712, 2717, 2837, 3036, 3064, 3197, 3305, 3314, 3378, 3394, 3414, 3444, 3574, 3664, 3748, 3766, 3770, 3835, 3882, 3936, 3997, 4106, 4112, 4229, 4235, 4264, 4300, 4360, 4376, 4385, 4470, 4477, 4512]"
326,"[0, 1]",28,"[2830, 2780]","[851, 1522, 1757, 2131, 2226, 2423, 2776, 3085, 3441, 3926]"
347,"[0, 1]",11,"[2878, 2816]","[98, 129, 156, 284, 319, 322, 329, 524, 544, 585, 626, 646, 653, 725, 768, 775, 811, 854, 917, 932, 999, 1073, 1153, 1188, 1221, 1310, 1346, 1348, 1354, 1373, 1473, 1474, 1525, 1539, 1552, 1592, 1698, 1740, 1795, 1962, 1983, 2050, 2078, 2145, 2216, 2228, 2320, 2436, 2472, 2502, 2508, 2527, 2618, 2630, 2633, 2645, 2662, 2742, 3073, 3244, 3270, 3299, 3385, 3496, 3541, 3553, 3668, 3698, 3720, 3846, 3919, 4038, 4104, 4144, 4149, 4276, 4288, 4312, 4395, 4481, 4497, 4540]"
348,"[0, 1]",22,"[2936, 2819]","[52, 66, 82, 90, 105, 153, 202, 271, 272, 426, 458, 539, 557, 579, 661, 726, 758, 810, 1059, 1110, 1184, 1288, 1336, 1351, 1377, 1547, 1625, 1735, 1737, 1776, 1809, 1829, 1835, 1846, 1882, 1978, 1981, 2019, 2164, 2173, 2179, 2263, 2374, 2408, 2413, 2420, 2422, 2430, 2462, 2463, 2468, 2489, 2492, 2564, 2570, 2778, 2855, 2891, 2929, 2969, 2970, 3102, 3107, 3144, 3229, 3253, 3317, 3506, 3528, 3585, 3666, 3674, 3681, 3755, 3858, 3925, 3946, 3981, 4027, 4034, 4154, 4399, 4483, 4530]"
349,"[0, 1]",27,"[2965, 2852]","[275, 425, 714, 806, 841, 843, 929, 967, 1018, 1042, 1057, 1305, 1383, 1609, 1797, 1854, 1872, 2178, 2283, 2405, 2706, 3028, 3059, 3139, 3200, 3255, 3289, 3669, 3787, 4052, 4064, 4303, 4369, 4435, 4482, 4484]"
