unique_satellite_id,predicted_gateway,actual_gateway_id,assigned_cells,actual_cell_ids
210,7,7,"[22, 56, 62, 115, 159, 285, 559, 643, 669, 684, 859, 938, 1039, 1072, 1210, 1297, 1303, 1306, 1533, 1765, 1792, 1843, 1950, 1953, 1960, 1996, 2106, 2121, 2171]","[2133, 2135, 2168, 2177, 2308, 2329, 2341, 2509, 2514, 2578, 2609, 2860, 2960, 3041, 3080, 3128, 3156, 3159, 3254, 3308, 3349, 3431, 3499, 3500, 3547, 3606, 3900, 4016, 4043, 4121, 4146, 4260, 4308, 4392, 4417, 4456, 4476, 4487, 4525, 4536, 4541]"
211,3,40,"[2585, 2643, 2697, 2938, 2976, 3007, 3015]","[149, 382, 628, 630, 1053, 1199, 1242, 1435, 1521, 1545, 1567, 1761, 2272, 3222, 3391, 3433, 3455, 3457, 3745, 4000, 4359]"
213,28,28,[],"[229, 447, 908, 1557, 1624, 2812, 3010, 3901, 3911, 4181]"
233,49,23,"[1605, 1632, 1651, 1678, 1721, 1801, 1859, 1876, 1879, 1936, 2003, 2135, 2177, 2209, 2235, 2241, 2278, 2308, 2329, 2341, 2387, 2499, 2536, 2578, 2663, 2904, 2914, 3014, 3022]","[63, 236, 363, 424, 542, 676, 734, 1093, 1096, 1306, 1413, 1481, 1537, 1605, 1721, 1801, 1819, 1859, 2209, 2222, 2387, 2454, 2481, 2566, 2582, 2663, 2707, 2873, 3014, 3083, 3207, 3269, 3280, 3300, 3357, 3460, 3584, 3718, 3819, 3966, 4031, 4203, 4265, 4336, 4383, 4453, 4489, 4532]"
234,21,6,"[2292, 2314, 2371, 2416, 2590, 2606, 2678, 2760, 2870, 2947, 3130, 3231, 3294, 3423, 3435, 3450, 3689, 3774, 3781, 3890, 3892, 3970, 4304, 4535]","[31, 35, 109, 124, 141, 260, 286, 305, 392, 396, 409, 410, 493, 496, 515, 531, 551, 621, 674, 702, 855, 926, 940, 981, 1014, 1047, 1259, 1518, 1873, 1885, 1887, 1896, 1910, 1965, 2064, 2163, 2217, 2287, 2298, 2303, 2334]"
235,19,19,[],"[210, 267, 333, 388, 849, 878, 1125, 1136, 1367, 1374, 1641, 1837, 1860, 2149, 2689, 2735, 3425, 3615, 3639, 3661, 3873, 3886, 3945, 4162, 4173, 4356, 4406, 4440, 4565]"
256,49,5,"[81, 84, 146, 168, 236, 247, 257, 310, 424, 469, 519, 542, 793, 818, 1000, 1352, 1405, 1413, 1481, 1495, 1551]","[11, 112, 119, 127, 158, 178, 259, 575, 1207, 1276, 1633, 2059, 2335, 2953, 2956, 3203, 3267, 3483, 3489, 3579, 3665, 3764, 3829, 3849, 3879, 4045, 4046, 4217]"
257,21,6,"[9, 17, 307, 400, 563, 746, 788, 927, 928, 1041, 1098, 1241, 1244, 1250, 1277, 1448, 1563, 1615, 1640, 1901, 1973, 2094]","[2444, 2459, 2542, 2546, 2740, 2779, 2784, 2810, 2854, 2874, 3000, 3057, 3058, 3063, 3185, 3192, 3260, 3331, 3337, 3413, 3416, 3526, 3565, 3569, 3692, 3760, 3828, 3834, 3845, 3861, 3893, 3899, 3961, 3986, 4005, 4037, 4041, 4239, 4351, 4405, 4458, 4537, 4542]"
258,28,28,[],"[61, 1750, 2317, 2739, 2852, 2917, 2972, 3190, 3726]"
278,41,41,"[2896, 2922, 2925, 2931, 2949, 2960, 3011, 3027, 3041, 3080, 3083, 3105, 3122, 3128, 3129, 3147, 3153, 3159, 3164, 3173, 3216, 3254, 3383, 3409, 3443, 3499, 3547, 3573, 3598, 3603, 3606, 3646, 3657, 3775, 3777, 3830, 3870, 3887, 3891, 3895, 3900, 3959, 3992, 4016, 4043, 4121, 4146, 4203, 4232, 4252, 4260, 4307, 4308, 4326, 4333, 4354, 4392, 4417, 4439, 4474, 4476, 4502, 4532, 4543]","[289, 291, 526, 558, 665, 727, 872, 993, 1422, 1436, 1530, 1874, 1884, 1993, 2196, 2299, 2409, 2522, 2524, 2533, 2690, 2925, 3027, 3147, 3173, 3959, 4307, 4502]"
